
2025/02/15 (07:44:01) | ===> btop++ v.1.4.0
2025/02/15 (07:44:01) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/15 (07:44:41) | ===> btop++ v.1.4.0
2025/02/15 (07:44:41) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/15 (07:44:44) | ===> btop++ v.1.4.0
2025/02/15 (07:44:44) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/15 (07:46:30) | ERROR: Exception during Config::unlock() : unordered_map::at

2025/02/16 (16:45:15) | ===> btop++ v.1.4.0
2025/02/16 (16:45:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/16 (16:47:46) | ===> btop++ v.1.4.0
2025/02/16 (16:47:46) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/16 (16:49:14) | ===> btop++ v.1.4.0
2025/02/16 (16:49:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/16 (17:43:11) | ===> btop++ v.1.4.0
2025/02/16 (17:43:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/16 (17:43:11) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/17 (10:52:21) | ===> btop++ v.1.4.0
2025/02/17 (10:52:21) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/17 (10:52:21) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/17 (10:54:06) | ===> btop++ v.1.4.0
2025/02/17 (10:54:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/17 (10:54:06) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/17 (13:09:46) | ===> btop++ v.1.4.0
2025/02/17 (13:09:46) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/17 (13:09:46) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/20 (17:52:26) | ===> btop++ v.1.4.0
2025/02/20 (17:52:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/20 (17:52:26) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/24 (00:15:53) | ===> btop++ v.1.4.0
2025/02/24 (00:15:53) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/24 (00:15:53) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/24 (13:24:09) | ===> btop++ v.1.4.0
2025/02/24 (13:24:09) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/24 (13:24:09) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/24 (13:29:17) | ===> btop++ v.1.4.0
2025/02/24 (13:29:17) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/24 (13:29:17) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/25 (17:53:55) | ===> btop++ v.1.4.0
2025/02/25 (17:53:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/25 (17:53:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/25 (18:11:15) | ===> btop++ v.1.4.0
2025/02/25 (18:11:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/25 (18:11:16) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/25 (20:28:00) | ===> btop++ v.1.4.0
2025/02/25 (20:28:00) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/25 (20:28:00) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/25 (20:45:14) | ===> btop++ v.1.4.0
2025/02/25 (20:45:14) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/25 (20:45:14) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/27 (14:46:52) | ===> btop++ v.1.4.0
2025/02/27 (14:46:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/27 (14:46:52) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/27 (18:59:20) | ===> btop++ v.1.4.0
2025/02/27 (18:59:20) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/27 (18:59:20) | WARNING: Intel GPU: Failed to initialize PMU
2025/02/27 (19:00:39) | WARNING: Failed to join _runner thread on exit!

2025/02/27 (19:04:42) | ===> btop++ v.1.4.0
2025/02/27 (19:04:42) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/27 (19:04:42) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/27 (19:25:55) | ===> btop++ v.1.4.0
2025/02/27 (19:25:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/27 (19:25:55) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/27 (20:15:10) | ===> btop++ v.1.4.0
2025/02/27 (20:15:10) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/27 (20:15:10) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/27 (20:27:15) | ===> btop++ v.1.4.0
2025/02/27 (20:27:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/27 (20:27:15) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/27 (22:45:34) | ===> btop++ v.1.4.0
2025/02/27 (22:45:34) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/27 (22:45:34) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/27 (22:46:07) | ===> btop++ v.1.4.0
2025/02/27 (22:46:07) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/27 (22:46:07) | WARNING: Intel GPU: Failed to initialize PMU

2025/02/28 (15:57:51) | ===> btop++ v.1.4.0
2025/02/28 (15:57:51) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/02/28 (15:57:51) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/02 (00:19:44) | ===> btop++ v.1.4.0
2025/03/02 (00:19:44) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/02 (00:19:44) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/02 (17:53:41) | ===> btop++ v.1.4.0
2025/03/02 (17:53:41) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/02 (17:53:41) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/03 (10:34:59) | ===> btop++ v.1.4.0
2025/03/03 (10:34:59) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/03 (10:34:59) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (18:40:02) | ===> btop++ v.1.4.0
2025/03/04 (18:40:02) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/04 (18:40:02) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/04 (22:48:39) | ===> btop++ v.1.4.0
2025/03/04 (22:48:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/04 (22:48:39) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/06 (16:10:58) | ===> btop++ v.1.4.0
2025/03/06 (16:10:58) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/06 (16:10:58) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/06 (16:11:29) | WARNING: Failed to join _runner thread on exit!

2025/03/06 (23:32:08) | ===> btop++ v.1.4.0
2025/03/06 (23:32:08) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/06 (23:32:08) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/07 (20:20:35) | ===> btop++ v.1.4.0
2025/03/07 (20:20:35) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/07 (20:24:56) | ===> btop++ v.1.4.0
2025/03/07 (20:24:56) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/07 (20:24:56) | WARNING: Intel GPU: Failed to initialize PMU

2025/03/09 (15:40:28) | ===> btop++ v.1.4.0
2025/03/09 (15:40:28) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported
2025/03/09 (15:40:28) | WARNING: Intel GPU: Failed to initialize PMU
2025/03/09 (15:42:08) | WARNING: Failed to join _runner thread on exit!
